year,buffett_return_pct,buffett_cumulative,buffett_source,sp500_price_return_pct,sp500_price_cumulative,sp500_close,dow_price_return_pct,dow_price_cumulative,dow_close,sp500_total_return_from_berkshire_pct,sp500_total_cumulative_from_1965
1984,-2.7,730.0988638,Berkshire per-share market value,1.4006,3.58345858,167.240005,-3.7398,2.42571125,1211.57,6.1,4.49109796
1985,93.7,1414.20149918,Berkshire per-share market value,26.3334,4.52710536,211.279999,27.6583,3.09662242,1546.67,31.6,5.91028491
1986,14.2,1615.01811207,Berkshire per-share market value,14.6204,5.18898667,242.169998,22.5827,3.79592368,1895.95,18.6,7.00959791
1987,4.6,1689.30894522,Berkshire per-share market value,2.0275,5.29419352,247.080002,2.2617,3.88177468,1938.83,5.1,7.3670874
1988,59.3,2691.06914974,Berkshire per-share market value,12.4008,5.95071807,277.720001,11.8494,4.34174225,2168.57,16.6,8.59002391
1989,84.6,4967.71365042,Berkshire per-share market value,27.2505,7.57231643,353.399994,26.9592,5.51224298,2753.2,31.7,11.31306149
1990,-23.1,3820.17179717,Berkshire per-share market value,-6.5591,7.07563776,330.220001,-4.3419,5.27290928,2633.66,-3.1,10.96235658
1991,35.6,5180.15295697,Berkshire per-share market value,26.3067,8.93700477,417.089996,20.3204,6.34438505,3168.83,30.5,14.30587534
1992,29.8,6723.83853814,Berkshire per-share market value,4.4643,9.33597618,435.709991,4.1744,6.60922578,3301.11,7.6,15.39312187
1993,38.9,9339.41172948,Berkshire per-share market value,7.0552,9.99464389,466.450012,13.7221,7.51614712,3754.09,10.1,16.94782717
1994,25.0,11674.26466185,Berkshire per-share market value,-1.5393,9.84079724,459.269989,2.1403,7.67701764,3834.44,1.3,17.16814893
1995,57.4,18375.29257775,Berkshire per-share market value,34.1107,13.19755768,615.929993,33.4516,10.24509981,5117.12,37.6,23.62337292
1996,6.2,19514.56071757,Berkshire per-share market value,20.2637,15.87186671,740.73999,26.0137,12.91022484,6448.27,23.0,29.0567487
1997,34.9,26325.14240801,Berkshire per-share market value,31.0082,20.79344398,970.429993,22.6414,15.83328328,7908.25,33.4,38.76170276
1998,52.2,40066.86674499,Berkshire per-share market value,26.6686,26.33876213,1229.22998,16.0994,18.38234529,9181.43,28.6,49.84754975
1999,-19.9,32093.56026273,Berkshire per-share market value,19.526,31.48168112,1469.25,25.2215,23.01863976,11497.12,21.0,60.3155352
2000,26.6,40630.44729262,Berkshire per-share market value,-10.1392,28.28969533,1320.280029,-6.1778,21.59659239,10786.85,-9.1,54.8268215
2001,6.5,43271.42636664,Berkshire per-share market value,-13.0427,24.59995717,1148.079956,-7.0952,20.06426812,10021.5,-11.9,48.30242974
2002,-3.8,41627.11216471,Berkshire per-share market value,-23.366,18.85194004,879.820007,-16.7627,16.70096302,8341.63,-22.1,37.62759277
2003,15.8,48204.19588673,Berkshire per-share market value,26.3804,23.82515722,1111.920044,25.3223,20.93002583,10453.92,28.7,48.42671189
2004,4.3,50276.97630986,Berkshire per-share market value,8.9935,25.9678614,1211.920044,3.148,21.58890424,10783.01,10.9,53.70522349
2005,0.8,50679.19212034,Berkshire per-share market value,3.001,26.7471628,1248.290039,-0.6075,21.45774521,10717.5,4.9,56.33677944
2006,24.1,62892.87742134,Berkshire per-share market value,13.6194,30.38997438,1418.300049,16.2878,24.95274991,12463.15,15.8,65.23799059
